Height (cm),Weight (kg),Screen Time (hrs),Junk Food (days/week),Physical Activity (hrs/week),Task Completion (scale),Human-Zombie Score
157,41,8.455099452311135,5.6227361707782,4.4748194241765,6.16611933606863,54.88135039273247
151,40,8.581429765727714,5.922744486360605,3.74970683723086,1.0848770228003681,71.51893663724195
166,45,5.018847442571767,5.746557065647644,4.5966618944654964,2.030813801181069,60.276337607164386
160,75,6.417009636806756,4.634546711716637,4.546153295866027,3.3604298969494963,54.48831829968969
153,74,4.417465077354919,4.740152976164867,6.601801240892725,5.75860265270609,42.36547993389047
145,40,6.97460617065571,6.085755359078501,2.8844891486891293,3.963300770887661,64.58941130666561
146,67,5.737799162443121,4.063433807942491,7.452736224696904,5.658325546894389,43.75872112626925
149,54,8.154487935111574,6.324544823481053,1.661171909526208,2.603585188030722,89.17730007820798
140,53,7.654985147703856,6.864832875152855,0.0,0.18676699135297903,96.36627605010293
145,48,6.792148608472335,3.8984266765022473,5.579731159158218,6.389984457736719,38.34415188257777
151,40,8.91609566999828,4.628614231555838,1.74237220563927,2.8110125582825023,79.17250380826646
152,76,7.525092105875169,4.16901818191864,6.432244834463438,4.826983001865553,52.88949197529045
140,55,8.67865922668634,4.9805424872907835,4.279189863185535,2.904066898646439,56.80445610939323
142,49,11.133597572621714,6.774823537066485,0.743461582157015,1.0606019280004548,92.5596638292661
182,56,5.992097758081428,2.483545960645109,10.0,10.0,7.103605819788694
181,84,4.998704392043534,2.2849336458423717,10.0,7.972604133104817,8.712929970154072
167,69,3.8302027013596165,1.0844484348002867,7.742759648009576,10.0,2.021839744032572
140,54,8.209820746400771,6.224620829741987,2.272876534034447,3.1742175477930514,83.2619845547938
148,41,6.51250023383491,5.997647298840583,0.9126220063571078,1.3672695548592548,77.81567509498505
147,52,9.975473549558288,5.896292881197624,1.1965455084185512,0.7059291888463212,87.00121482468191
140,40,9.412237477557897,7.0,0.0,0.0,97.8618342232764
155,63,11.59054938509281,6.123971832161882,2.912459673183737,2.6903950992766528,79.91585642167236
142,60,5.47352607575033,4.0370085981292725,8.341605144167684,5.353871653423446,46.147936225293186
140,85,8.883821983685987,5.840809111985871,0.609949197883902,2.1660611496347055,78.05291762864555
157,55,4.254917210036073,3.0098843441661685,9.31435208941977,9.706154769524941,11.827442586893323
153,40,5.269596328555308,5.346148745153628,4.8664534285063485,4.6026639196921115,63.99210213275238
148,81,2.8558272598175765,2.2510828573849353,8.384443683289954,8.423941944248005,14.33532874090464
154,40,6.632692007173887,7.0,0.0,0.808993181365196,94.46689170495839
140,62,7.064693682731107,5.190016976072837,6.545718559423884,5.546741792186608,52.184832175007166
145,52,6.182654720627997,3.6649290509558465,5.499859048596516,6.016512692930002,41.46619399905236
162,49,5.967533726833715,2.963673204540381,6.963979201124992,7.104580423011205,26.455561210462697
140,50,7.331852772907272,5.554480432626498,2.3395867559631305,0.7568101502958136,77.42336894342166
149,40,4.60376396431936,4.573571350299565,4.94245149481152,2.5111629531022346,45.615033221654855
146,72,6.496093629756215,5.18121402827603,4.955760985585629,4.976400426788534,56.84339488686485
